,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
192,192,beef vegetable soup,120,2.9,1,0.7,0.9,15.4,3.1
193,193,black bean soup,234,3.4,0.9,1.2,1.1,39.6,6.4
194,194,split pea soup with ham bacon,189,3.1,0.9,1.2,0.6,28.6,0
195,195,cream of mushroom soup,199,13.4,2.4,3.1,7.3,17.1,1
196,196,green pea soup,320,5.7,2.7,1.9,0.7,51.7,16.7
197,197,chicken broth soup,78,2.6,0.8,1.2,0.6,1.9,0.9
198,198,chicken mushroom chowder soup,431,23.7,6.2,4.5,9.4,38.3,0
199,199,chicken dumplings soup,235,13.4,3.2,6.1,3.2,14.7,1.4
200,200,chicken vegetable soup,148,5.6,1.7,2.5,1.2,17,3
201,201,turkey vegetable soup,72,3,0.9,1.3,0.7,8.6,2.6
202,202,wonton soup,71,0.6,0.1,0.2,0.2,11.7,0.8
203,203,beef stock,31,0.2,0.003,0.1,0.005,2.9,1.3
204,204,mushroom barley soup,186,5.5,1.1,2.4,1.7,29.3,0
205,205,gazpacho soup,70,0.4,0.008,0.059,0.1,6.6,2.2
206,206,beef mushroom soup,186,7.3,3.7,3.1,0.3,15.9,0
207,207,chicken rice soup,127,3.2,1,1.4,0.7,13,1.4
208,208,pepperpot soup,100,4.5,2,2,0.3,9.1,0
209,209,vegetable soup,149,4,0.6,1.7,1.5,24.6,7.9
210,210,chili beef soup,308,6.7,3.3,2.7,0.2,49.6,13.4
211,211,chicken soup,174,6.5,1.9,2.9,1.3,16.9,2.1
212,212,bean with frankfurters soup,188,7,2.1,2.7,1.7,22,0
213,213,pea soup,161,2.8,1.4,1,0.4,25.6,8.3
214,214,turkey soup,135,4.4,1.2,1.8,1.1,14.1,0
215,215,stockpot soup,201,7.8,1.7,2,3.5,23.1,0
216,216,hot sour soup,91,2.8,0.5,0.7,0.7,10.1,1
217,217,cheese soup,203,9.7,6.1,2.7,0.3,28,9.3
218,218,cream of potato soup,186,4.7,2.4,1.1,0.8,32.2,3.6
219,219,bean with bacon soup,106,2.1,1,0.9,0.2,16.4,0.6
220,220,fish stock,40,1.9,0.5,0.5,0.3,0,0
221,221,split pea soup with ham,381,8.9,3.5,3.6,1.3,56.2,0
222,222,beef broth soup,17,0.5,0.3,0.2,0.049,0.010,0
223,223,lentil soup with ham,139,2.8,1.1,1.3,0.3,20.2,0
224,224,tomato soup,98,0.7,0.2,0.2,0.2,22.5,12.2
225,225,fish broth,39,1.5,0.3,0.3,0.6,1,0.2
226,226,chili without beans canned,283,17,5.4,5.9,1.1,14.6,0
227,227,minestrone soup,167,5,1.1,1.4,2.2,22.6,3.7
228,228,clam chowder soup,154,4.4,0.8,0.8,2.6,24.5,6.8
229,229,tomato vegetable soup,54,0.8,0.4,0.3,0.054,9.9,2.4
230,230,cream of rice coup,127,0.2,0.070,0.071,0.032,28.1,0.022
231,231,cream of celery soup,181,11.2,2.8,2.6,5,17.7,3.4
232,232,chicken gravy,188,13.6,3.4,6.1,3.6,12.9,1.9
233,233,tomato rice soup,240,5.5,1,1.2,2.7,44.1,15.2
234,234,vegetable beef soup,128,2,0.6,0.7,0.3,9.6,0
235,235,tomato beef noodle soup,281,8.6,3.2,3.5,1.4,42.3,0
236,236,oyster stew soup,118,7.7,5,1.8,0.3,8.2,0
237,237,ramen noodle soup dry,371,13.3,6.4,5.6,1.2,53.9,1.3
238,238,chicken noodle soup,145,4.7,1.2,1.6,1,18.4,0
239,239,chicken bouillon dry,11,0.6,0.1,0.2,0.2,0.7,0.7
240,240,cream of asparagus soup,174,8.2,2.1,1.9,3.7,21.5,1.8
241,241,turkey noodle soup,139,4,1.1,1.6,1,17.3,1
242,242,cream of shrimp soup,181,10.4,6.5,3,0.4,16.5,0
243,243,bean with pork soup,335,11.5,3,4.2,3.5,44.1,7.8
244,244,chicken broth,12,0.5,0.008,0.1,0.042,1,0
245,245,beef broth powder,8,0.3,0.2,0.1,0.040,0.6,0.6
246,246,split pea soup,180,2.3,0.8,0.9,0.4,29.9,12.8
247,247,escarole soup,61,4,1.2,1.8,0.8,4,0
248,248,chicken stock,86,2.9,0.8,1.4,0.5,8.5,3.8
249,249,tomato bisque soup,248,5,1.1,1.4,2.2,47.7,0
250,250,shark fin soup,99,4.3,1.1,1.3,0.7,8.2,0
251,251,onion soup,113,3.5,0.5,1.5,1.3,16.4,6.7
252,252,chicken gumbo soup,113,2.9,0.7,1.3,0.7,16.8,4.9
253,253,crab soup,95,0.8,0.2,0.2,0.3,12.5,0
254,254,tripe soup,148,5.2,2.1,2.2,0.6,8.1,0
255,255,little india little lunch,164,10.6,15.6,12.2,1.4,2,0.0
256,256,original chicken sandwich chick fil a,125,5.1,11.6,7.9,0.6,0.0,0.0
257,257,sausage mcmuffin mcdonalds,383,24.2,8.3,8.9,3.7,28.2,2.2
258,258,sausage mcgriddles mcdonalds,421,24,7.3,10.2,3.5,42.2,15.2
259,259,crispy chicken drumstick kentucky fried chicken,70,3,0.8,1.2,0.8,0,0
260,260,chicken crispy drumsticks kentucky fried chicken,156,10.1,2.2,3.4,3.6,4.5,0
261,261,biscuit kentucky fried chicken,185,9.1,2.2,6.1,0.6,22.1,1.7
