food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,food_category,Protein,Dietary Fiber,Sodium,Cholesterol,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,is_vegan,is_vegetarian,is_eggetarian,is_non_veg,is_high_protein,is_low_carb,is_high_fiber,protein_per_cal,fiber_per_cal,sugar_per_cal,fat_per_cal
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,1.411764705882353,0.0,0.0392156862745098,0.8823529411764706
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.33488372093023255,0.0,0.05023255813953489,0.8120930232558139
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.5714285714285714,0.0,0.27755102040816326,0.6612244897959183
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,2.4,0.0,0.012133333333333333,0.6
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,2.4,0.0,0.12000000000000001,0.69
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,3.789473684210526,0.0,0.21052631578947367,0.09473684210526316
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6206896551724138,0.0,0.003448275862068966,0.7060344827586206
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6371681415929203,0.0,0.003539823008849558,0.7407079646017699
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,1.0140845070422535,0.0,0.0025915492957746477,0.5704225352112676
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,3.789473684210526,0.0,0.018526315789473682,0.6157894736842106
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,3.4285714285714284,0.0,0.014285714285714285,0.6
port salut cheese,465,37.2,22.0,12.3,1.0,0.8,0.8,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.15483870967741936,0.0,0.006881720430107527,0.72
swiss cheese,98,7.7,4.6,2.0,0.3,0.4,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.7346938775510204,0.0,0.0,0.7071428571428571
goat cheese hard,128,10.1,7.0,2.3,0.2,0.6,0.6,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.5625,0.0,0.01875,0.7101562499999999
gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.72,0.0,0.024,0.693
pepper jack cheese lucerne,75,6.0,4.0,0.0,0.0,0.0,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.96,0.0,0.0,0.72
caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6792452830188679,0.0,0.0,0.7047169811320755
gjetost cheese,1058,67.0,43.5,17.9,2.1,96.8,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False,False,0.06805293005671077,0.0,0.0,0.5699432892249527
tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.5294117647058824,0.0,0.0,0.6882352941176472
goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6990291262135923,0.0,0.001203883495145631,0.7339805825242719
brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.6486486486486487,0.0,0.007207207207207207,0.7216216216216217
asadero cheese,402,31.9,20.3,9.1,1.0,3.2,3.2,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.1791044776119403,0.0,0.0318407960199005,0.7141791044776119
camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.8,0.0,0.0044444444444444444,0.73
provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4.0,0.6,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.23225806451612904,0.0,0.007741935483870968,0.577741935483871
roquefort cheese,314,26.0,16.4,7.2,1.1,1.7,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.22929936305732485,0.0,0.0,0.7452229299363057
queso blanco cheese,366,28.7,16.1,7.6,1.4,3.0,2.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.19672131147540983,0.0,0.02295081967213115,0.7057377049180328
queso seco cheese,315,23.6,13.3,6.2,1.2,2.0,0.5,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.22857142857142856,0.0,0.006349206349206349,0.6742857142857143
goat cheese soft,75,6.0,4.1,1.4,0.1,0.0,0.3,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.96,0.0,0.016,0.72
mozzarella cheese,90,6.6,4.2,2.0,0.2,0.7,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.8,0.0,0.0,0.66
chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.145748987854251,0.0,0.05910931174089069,0.71417004048583
limburger cheese,98,8.2,5.0,2.6,0.1,0.1,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.7346938775510204,0.0,0.004081632653061225,0.7530612244897958
muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.14814814814814814,0.0,0.012345679012345678,0.7351851851851852
queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.19726027397260273,0.0,0.030684931506849315,0.7175342465753426
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.72,0.0,0.004,0.747
pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.13714285714285715,0.0,0.006857142857142858,0.7491428571428571
mexican cheese,316,21.7,13.0,5.6,0.8,3.8,0.6,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.22784810126582278,0.0,0.007594936708860759,0.6180379746835443
feta cheese,80,6.4,4.0,1.4,0.2,1.2,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.9,0.0,0.0,0.72
mozzarella cheese fat free,159,0.0,0.0,0.0,0.0,4.0,1.7,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.4528301886792453,0.0,0.042767295597484274,0.0
provolone cheese,463,35.1,22.5,9.8,1.0,2.8,0.7,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.15550755939524838,0.0,0.006047516198704104,0.6822894168466523
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.14634146341463414,0.0,0.04959349593495935,0.7243902439024391
honey,64,0.0,0.0,0.0,0.0,17.3,17.2,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,False,0.4375,0.0,1.075,0.0
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False,False,0.8,0.0,0.8114285714285714,0.0162
fruit jam,56,0.095,0.021,0.065,0.0,13.8,9.7,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,False,0.5,0.0,0.6928571428571428,0.015267857142857142
chocolate hazelnut spread,100,5.5,5.3,0.0,0.0,11.5,10.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,False,0.28,0.0,0.4,0.495
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1.0,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.3181818181818182,0.0,0.045454545454545456,0.756818181818182
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True,False,0.27722772277227725,0.0,0.019801980198019802,0.7574257425742574
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,0.3181818181818182,0.0,0.013636363636363636,1.0022727272727272
cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.1016949152542373,0.0,0.04745762711864407,0.8720338983050847
tahini,86,7.2,1.0,2.7,3.2,3.9,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True,False,0.32558139534883723,0.0,0.0,0.7534883720930232
orange marmalade,49,0.0,0.0,0.0,0.0,13.3,12.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,False,0.5714285714285714,0.0,0.9795918367346939,0.0
american cheese spread,46,3.4,2.1,1.0,0.062,1.4,1.2,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,1.565217391304348,0.0,0.10434782608695652,0.6652173913043478
apricot jam,48,0.01,0.042,0.0,0.0,12.9,8.7,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,False,0.5833333333333334,0.0,0.725,0.001875
chunky peanut butter,94,8.0,1.2,3.7,2.2,3.5,1.3,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.2978723404255319,0.0,0.055319148936170216,0.7659574468085106
ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,1.945945945945946,0.0,0.0,0.681081081081081
chicken and rice casserole homade,27,1.0,0.0,0.0,0.0,2.4,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,1.037037037037037,0.0,0.0,0.3333333333333333
picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True,False,0.4307692307692308,0.0,0.0,0.6507692307692309
corn tamale,309,12.0,4.4,4.0,2.6,44.3,12.3,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.09061488673139159,0.0,0.15922330097087378,0.34951456310679613
baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.15964523281596452,0.0,0.0,0.5168514412416851
chinese egg roll,223,10.6,1.9,2.7,5.0,24.3,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,0.12556053811659193,0.0,0.0,0.4278026905829596
butter croissant,231,12.0,6.6,3.1,0.6,26.1,6.4,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,False,False,False,0.12121212121212122,0.0,0.11082251082251082,0.4675324675324675
enchilada with cheese beef,323,17.6,9.0,6.1,1.4,30.5,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.22291021671826625,0.0,0.0,0.4904024767801858
corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,True,False,0.07235142118863049,0.0,0.0082687338501292,0.5627906976744186
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.1651376146788991,0.0,0.022935779816513763,0.5222477064220183
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.14906832298136646,0.0,0.057971014492753624,0.3447204968944099
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.052930056710775046,0.0,0.025708884688090735,0.4678638941398866
corn rice,110,0.3,0.02,0.0,0.1,25.2,3.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,False,0.2545454545454545,0.0,0.10909090909090909,0.024545454545454544
kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,True,False,0.03594351732991014,0.0,0.09396662387676509,0.48754813863928115
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.09395973154362416,0.0,0.021476510067114096,0.49228187919463096
frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False,False,0.32,0.0,0.0,0.312
burrito with beef,285,8.1,1.7,1.7,4.0,43.9,4.1,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.09824561403508772,0.0,0.0575438596491228,0.2557894736842105
crispy chicken sandwich,350,17.6,3.3,4.0,8.4,33.2,3.9,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.08,0.0,0.04457142857142857,0.45257142857142857
enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True,False,0.1925133689839572,0.0,0.038502673796791446,0.6088235294117648
pork egg roll,189,6.1,1.3,2.0,2.1,25.1,4.5,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.14814814814814814,0.0,0.09523809523809523,0.29047619047619044
corn on the cob with butter,155,3.4,1.6,1.0,0.6,31.9,0.0,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,False,False,False,0.18064516129032257,0.0,0.0,0.19741935483870968
pancakes with butter syrup,260,7.0,2.9,2.6,1.0,45.4,0.0,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,False,False,False,0.1076923076923077,0.0,0.0,0.2423076923076923
burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.125,0.0,0.0,0.2691964285714286
scrambled eggs,100,7.6,2.9,2.8,0.9,1.0,0.8,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,True,False,0.28,0.0,0.032,0.6839999999999999
baked potato with sour cream,393,22.3,10.0,7.9,3.3,50.0,0.0,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,False,False,False,0.07124681933842239,0.0,0.0,0.5106870229007634
turkey and gravy,161,6.3,2.0,2.3,1.1,11.1,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.17391304347826086,0.0,0.0,0.3521739130434782
chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.17721518987341772,0.0,0.11392405063291139,0.2050632911392405
vegetable egg roll,153,3.6,0.6,1.0,1.7,25.0,5.3,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,0.1830065359477124,0.0,0.13856209150326798,0.21176470588235294
ham cheese roll,67,5.2,2.0,2.4,0.6,1.1,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,1.0746268656716418,0.0,0.0,0.6985074626865673
biscuit with ham,386,18.4,11.4,4.8,1.0,43.8,2.2,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.07253886010362694,0.0,0.0227979274611399,0.42901554404145076
lemon chicken,1440,74.9,12.2,16.4,36.7,122.0,55.2,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.019444444444444445,0.0,0.15333333333333335,0.468125
hummus,435,21.1,2.8,12.0,5.2,49.5,0.7,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.06436781609195402,0.0,0.0064367816091954015,0.43655172413793103
croissant with egg cheese,368,24.7,14.1,7.5,1.4,24.3,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,0.1956521739130435,0.0,0.0,0.6040760869565217
enchirito with cheese beef beans,344,16.1,7.9,6.5,0.3,33.8,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.20930232558139536,0.0,0.0,0.42122093023255813
sweet sour pork,38,2.2,0.4,0.5,1.0,3.3,1.4,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,0.7368421052631579,0.0,0.14736842105263157,0.5210526315789474
crab cake,160,10.4,2.2,4.3,3.1,5.1,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,True,False,0.175,0.0,0.0,0.5850000000000001
egg dinner roll,107,2.2,0.6,1.0,0.4,18.2,1.5,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,0.2616822429906542,0.0,0.056074766355140186,0.18504672897196262
english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,0.15254237288135594,0.0,0.0211864406779661,0.5701271186440677
buttermilk pancakes,86,3.5,0.7,0.9,1.7,10.9,0.0,Dairy & Cheese,7.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False,False,0.32558139534883723,0.0,0.0,0.36627906976744184
omelet,94,7.1,2.0,3.0,1.7,0.4,0.2,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True,False,0.2978723404255319,0.0,0.00851063829787234,0.6797872340425531
taco with chicken cheese lettuce,185,6.2,2.5,1.6,1.6,19.3,1.3,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.3891891891891892,0.0,0.02810810810810811,0.30162162162162165
spinach souffle,230,17.6,10.1,5.0,1.0,8.0,2.5,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,True,False,0.12173913043478261,0.0,0.043478260869565216,0.688695652173913
english muffin with cheese sausage,365,22.3,8.8,8.5,3.4,27.3,2.1,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.19726027397260273,0.0,0.023013698630136987,0.5498630136986302
potato gratin,328,18.6,11.6,5.3,0.7,27.6,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.08536585365853659,0.0,0.0,0.5103658536585366
biscuit with egg,436,25.3,8.5,11.7,2.8,35.4,2.5,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,0.06422018348623854,0.0,0.022935779816513763,0.5222477064220183
french fries deep fried,222,10.5,1.7,4.2,3.8,29.4,0.2,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.12612612612612611,0.0,0.0036036036036036037,0.42567567567567566
sweet sour chicken,46,2.3,0.4,0.5,1.2,4.4,2.1,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,0.6086956521739131,0.0,0.1826086956521739,0.45
burrito with beans beef,460,18.0,7.0,7.8,1.4,47.0,5.3,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.06086956521739131,0.0,0.04608695652173913,0.3521739130434783
nachos with cinnamon sugar,592,36.0,18.2,11.8,4.1,63.4,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.0472972972972973,0.0,0.0,0.5472972972972973
arroz con grandules,209,5.7,0.9,1.2,2.7,35.4,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.1339712918660287,0.0,0.0,0.24545454545454548
chili con carne,271,8.8,3.2,3.6,1.0,33.1,4.7,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.1033210332103321,0.0,0.06937269372693727,0.2922509225092251
arroz con abichuelas,223,5.4,0.8,1.1,2.5,37.3,0.2,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,0.12556053811659193,0.0,0.003587443946188341,0.2179372197309417
biscuit with sausage,412,27.1,8.2,13.5,3.4,33.3,1.8,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,0.06796116504854369,0.0,0.017475728155339806,0.591990291262136
vegetarian stew,304,7.4,1.2,1.8,3.8,17.3,3.1,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,True,False,0.09210526315789473,0.0,0.04078947368421053,0.21907894736842107
chicken sandwich with cheese,632,38.8,12.4,13.7,9.9,41.6,0.0,Dairy & Cheese,18.0,0.0,0.05,30.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,0.11392405063291139,0.0,0.0,0.5525316455696202
biscuit with egg steak,410,28.4,8.6,11.7,5.8,21.3,0.0,Dairy & Cheese,7.0,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,0.06829268292682927,0.0,0.0,0.6234146341463415
