food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,food_category,Protein,Dietary Fiber,Sodium,Cholesterol,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,is_vegan,is_vegetarian,is_eggetarian,is_non_veg,is_high_protein,is_low_carb,is_high_fiber,protein_per_cal,fiber_per_cal,sugar_per_cal,fat_per_cal
salt,0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits & Produce,0.0,0.0,7.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.099,0.006,0.2,0.052,0.0,1.4,0.039,0.098,4.329,True,True,True,False,False,True,False,0.0,0.0,0.0,0.0
coriander leaves dried,2,0.098,0.099,0.09,0.081,0.3,0.045,Fruits & Produce,0.1,0.095,0.018,0.0,0.009,0.0,0.0,0.019,0.089,0.0,0.02,0.046,0.0,0.014,3.4,0.0,0.08,0.094,7.5,0.017,0.3,4.2,0.087,2.9,26.8,0.04,0.633,True,True,True,False,False,True,True,0.2,4.75,0.09,0.441
sage ground,2,0.046,0.07,0.069,0.013,0.4,0.052,Fruits & Produce,0.058,0.3,0.083,0.0,0.051,0.0,0.018,0.025,0.0,0.1,0.055,0.0,0.044,0.2,0.0,0.08,0.099,11.6,0.06,0.2,3.0,0.032,0.6,7.5,0.039,0.02,12.796,True,True,True,False,False,True,True,0.116,15.0,0.104,0.207
garlic powder,10,0.029,0.003,0.045,0.016,2.3,0.068,Fruits & Produce,0.5,0.3,0.082,0.0,0.2,0.0,0.0,0.011,0.056,0.0,0.031,0.059,0.008,0.093,0.091,0.0,0.039,0.008,2.4,0.003,0.2,2.4,0.035,12.8,37.0,0.077,3.269,True,True,True,False,False,True,True,0.2,3.0,0.027200000000000002,0.0261
dill weed fresh,4,0.063,0.064,0.022,0.052,0.6,0.0,Fruits & Produce,0.3,0.2,0.017,0.0,7.6,0.0,0.0,0.097,0.063,0.0,0.012,0.1,0.026,0.003,7.6,0.0,0.0,0.0,18.5,0.09,0.6,4.9,0.1,5.9,65.7,0.0,1.201,True,True,True,False,True,True,True,0.3,5.0,0.0,0.14175
cardamom,6,0.1,0.065,0.038,0.071,1.4,0.0,Fruits & Produce,0.2,0.6,0.013,0.0,0.2,0.0,0.072,0.0,0.0,0.056,0.029,0.0,0.005,0.4,0.0,0.0,0.0,7.7,0.039,0.3,4.6,0.6,3.6,22.4,0.0,0.1,10.7,True,True,True,False,False,True,True,0.13333333333333333,10.0,0.0,0.15
saffron,2,0.092,0.047,0.1,0.05,0.5,0.0,Fruits & Produce,0.071,0.002,0.063,0.0,0.086,0.0,0.0,0.097,0.082,0.0,0.066,0.061,0.0,0.023,0.6,0.0,0.0,0.0,0.8,0.037,0.035,1.8,0.2,1.8,12.1,0.082,0.682,True,True,True,False,False,True,False,0.142,0.1,0.0,0.414
allspice ground,5,0.2,0.034,0.084,0.063,1.4,0.0,Fruits & Produce,0.1,0.4,0.001,0.0,0.2,0.0,0.026,0.079,0.0,0.08,0.088,0.0,0.03,0.7,0.0,0.0,0.0,12.6,0.011,0.1,2.6,0.036,2.1,19.8,0.02,0.015,15.5,True,True,True,False,False,True,True,0.08,8.0,0.0,0.36
parsley fresh,1,0.078,0.016,0.037,0.01,0.2,0.001,Fruits & Produce,0.1,0.1,0.056,0.0,3.3,0.0,0.0,0.047,0.07,0.0,0.092,0.02,0.002,0.081,5.1,0.0,0.029,0.013,5.2,0.085,0.2,1.9,0.046,2.2,21.1,0.094,0.509,True,True,True,False,True,True,True,0.4,10.0,0.004,0.702
oregano dried,265,4.3,1.6,0.7,1.4,68.9,4.1,Fruits & Produce,9.0,42.5,0.009,0.0,9.9,0.0,0.0,0.2,0.2,0.0,0.5,4.6,0.9,1.0,2.3,0.0,18.3,0.6,1597.0,0.6,36.8,270.0,5.0,148.0,1260.0,0.01,126.9,True,True,True,False,False,False,True,0.13584905660377358,16.037735849056602,0.061886792452830186,0.14603773584905658
marjoram dried,5,0.1,0.056,0.076,0.093,1.0,0.077,Fruits & Produce,0.2,0.7,0.004,0.0,0.1,0.0,0.0,0.057,0.073,0.0,0.036,0.097,0.0,0.055,0.9,0.0,0.029,0.047,33.8,0.029,1.4,5.9,0.053,5.2,25.9,0.078,2.032,True,True,True,False,False,True,True,0.16,14.0,0.0616,0.18
chives raw,1,0.088,0.083,0.09,0.002,0.1,0.02,Fruits & Produce,0.03,0.044,0.099,0.0,2.7,0.0,0.0,0.007,0.054,0.0,0.052,0.08,0.072,0.097,1.7,0.0,0.079,0.08,2.8,0.059,0.004,1.3,0.063,1.7,8.9,0.048,0.417,True,True,True,False,False,True,True,0.12,4.3999999999999995,0.08,0.7919999999999999
fireweed leaves,24,0.6,0.0,0.0,0.0,4.4,0.0,Fruits & Produce,1.1,2.4,0.035,0.0,16.3,0.0,0.044,0.007,0.0,0.079,1.1,0.3,0.1,0.5,0.0,0.0,0.0,98.7,0.016,0.6,35.9,1.5,24.8,113.6,0.068,0.6,108.3,True,True,True,False,False,True,True,0.18333333333333335,10.0,0.0,0.22499999999999998
rosemary fresh,1,0.1,0.016,0.0,0.072,0.1,0.0,Fruits & Produce,0.005,0.012,0.039,0.0,0.5,0.0,0.0,0.066,0.028,0.0,0.042,0.028,0.032,0.043,0.2,0.0,0.0,0.0,2.2,0.092,0.099,0.6,0.054,0.5,4.7,0.0,0.369,True,True,True,False,False,True,True,0.02,1.2,0.0,0.9
garlic,4,0.026,0.033,0.078,0.089,0.9,0.043,Fruits & Produce,0.2,0.064,0.018,0.0,1.6,0.0,0.0,0.058,0.024,0.0,0.068,0.09,0.005,0.061,0.9,0.0,0.056,0.003,5.1,0.069,0.046,0.7,0.01,4.3,11.2,0.014,1.253,True,True,True,False,False,True,True,0.2,1.6,0.043,0.058499999999999996
cinnamon ground,6,0.044,0.074,0.08,0.044,2.1,0.066,Fruits & Produce,0.1,1.4,0.022,0.0,0.3,0.0,0.087,0.05,0.0,0.006,0.083,0.018,0.004,0.071,0.0,0.052,0.027,26.1,0.099,0.2,1.6,0.5,1.7,11.2,0.018,0.088,30.0,True,True,True,False,False,True,True,0.06666666666666667,23.333333333333332,0.044000000000000004,0.06599999999999999
chervil dried,5,0.002,0.066,0.033,0.031,0.9,0.0,Fruits & Produce,0.4,0.2,0.076,0.0,0.1,0.0,0.055,0.037,0.0,0.09,0.1,0.0,0.096,1.0,0.0,0.0,0.0,25.6,0.044,0.6,2.5,0.043,8.6,90.1,0.031,0.2,28.777,True,True,True,False,True,True,True,0.32,4.0,0.0,0.0036000000000000003
cayenne pepper,1,0.094,0.043,0.082,0.023,0.2,0.089,Fruits & Produce,0.039,0.052,0.059,0.0,0.011,0.0,0.034,0.019,0.0,0.046,0.041,0.0,0.066,0.2,0.0,0.019,0.004,0.4,0.049,0.003,0.5,0.049,0.9,6.0,0.062,0.071,0.988,True,True,True,False,False,True,True,0.156,5.2,0.356,0.846
turmeric ground,8,0.2,0.093,0.014,0.019,1.4,0.062,Fruits & Produce,0.2,0.5,0.064,0.0,0.2,0.0,0.085,0.1,0.0,0.097,0.1,0.0,0.04,0.6,0.0,0.033,0.075,4.0,0.083,0.9,4.2,0.2,5.9,55.6,0.02,0.009,7.8,True,True,True,False,False,True,True,0.1,6.25,0.031,0.225
mustard,3,0.2,0.021,0.1,0.086,0.3,0.048,Fruits & Produce,0.2,0.2,0.015,0.0,4.2,0.096,0.026,0.006,0.097,0.0,0.011,0.04,0.013,0.015,0.03,0.0,0.086,0.012,3.2,0.086,0.096,2.4,0.075,5.4,7.6,0.064,1.046,True,True,True,False,True,True,True,0.26666666666666666,6.666666666666667,0.064,0.6
chili powder,8,0.4,0.061,0.029,0.2,1.3,0.2,Fruits & Produce,0.4,0.9,0.014,0.0,0.3,0.0,0.0,0.066,0.062,0.0,0.097,0.3,0.013,0.031,0.008,0.0,1.0,0.047,8.9,0.032,0.5,4.0,0.036,8.1,52.7,0.018,3.182,True,True,True,False,False,True,True,0.2,11.25,0.1,0.45
thyme dried,276,7.4,2.7,0.5,1.2,63.9,1.7,Fruits & Produce,9.1,37.0,0.016,0.0,7.8,0.0,0.0,0.5,0.3,0.0,0.4,4.9,0.0,0.6,50.0,0.0,7.5,1.7,1890.0,0.9,123.6,220.0,7.9,201.0,814.0,0.068,120.6,True,True,True,False,False,False,True,0.1318840579710145,13.405797101449275,0.024637681159420288,0.24130434782608698
spearmint dried,1,0.018,0.09,0.018,0.057,0.3,0.0,Fruits & Produce,0.094,0.1,0.012,0.0,0.029,0.0,0.0,0.007,0.087,0.0,0.009,0.04,0.044,0.092,0.0,0.0,0.0,0.0,7.4,0.021,0.4,3.0,0.008,1.4,9.6,0.0,0.649,True,True,True,False,True,True,True,0.376,10.0,0.0,0.16199999999999998
