,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
0,0,margarine with yoghurt,88,9.8,1.9,5.6,2,0.073,0
1,1,sunflower seed butter,99,8.8,0.7,6.2,1.6,3.7,1.7
2,2,hazelnut oil,120,13.6,1,10.6,1.4,0,0
3,3,menhaden fish oil,1966,218,66.3,58.2,74.5,0,0
4,4,cod liver fish oil,123,13.6,3.1,6.4,3.1,0,0
5,5,sardine oil,123,13.6,4.1,4.6,4.3,0,0
6,6,cupu assu oil,120,13.6,7.2,5.3,0.5,0,0
7,7,lard,115,12.8,5,5.8,1.4,0,0
8,8,sesame butter,94,8.1,1.1,3.1,3.6,3.8,0
9,9,margarine spread,59,6.7,1.2,2.3,2.8,0.1,0
10,10,lard vegetable oil,115,12.8,5.2,5.7,1.4,0,0
11,11,shortening,113,12.8,3.2,5.7,3.3,0,0
12,12,vegetable oil spread,75,8.4,1.7,2.7,3.7,0.1,0
13,13,cottonseed oil,120,13.6,3.5,2.4,7.1,0,0
14,14,vegetable oil spread fat free,6,0.5,0.015,0.1,0.3,0.4,0
15,15,soy margarine,88,9.9,3.2,5.2,1.1,0,0
16,16,margarine with salt,100,11.3,2.1,5.4,3.4,0.017,0
17,17,margarine,102,11.5,2.2,5.5,3.5,0.018,0
18,18,salmon fish oil,123,13.6,2.7,3.9,5.5,0,0
19,19,nutmeg butter oil,1927,218,196.2,10.5,0,0,0
20,20,almond butter,98,8.9,0.7,5.2,2.2,3,0.7
21,21,sour cream shoprite,60,5,3.5,1,1,1,0.014
22,22,ucuhuba butter oil,120,13.6,11.6,0.9,0.4,0,0
23,23,chicken fat,115,12.8,3.8,5.7,2.7,0,0
24,24,herring fish oil,123,13.6,2.9,7.7,2.1,0,0
25,25,bacon grease,39,4.3,1.7,1.9,0.5,0,0
26,26,turkey fat,45,5,1.5,2.1,1.2,0,0
27,27,beef tallow,115,12.8,6.4,5.4,0.5,0,0
28,28,goose fat,45,5,1.4,2.8,0.6,0,0
29,29,duck fat,44,5,1.7,2.5,0.6,0,0
30,30,mutton tallow,45,5,2.4,2,0.4,0,0
31,31,grapeseed oil,120,13.6,1.3,2.2,9.5,0,0
32,32,sheanut oil,1927,218,101.6,95.9,11.3,0,0
33,33,almond oil,120,13.6,1.1,9.5,2.4,0,0
34,34,sunflower oil,120,13.6,1.2,7.8,3.9,0,0
35,35,cashew butter,94,7.9,1.6,4.7,1.3,4.4,0.8
36,36,canola oil,124,14,1,8.9,3.9,0,0
37,37,babassu oil,1927,218,177,24.9,3.5,0,0
38,38,teaseed oil,120,13.6,2.9,7,3.1,0,0
39,39,avocado oil,124,14,1.6,9.9,1.9,0,0
40,40,vegetable palm kernel oil,117,13.6,11.1,1.6,0.2,0,0
41,41,coconut oil,117,13.6,11.2,0.9,0.2,0,0
42,42,safflower oil,120,13.6,1,10.2,1.7,0,0
43,43,vegetable oil,120,13.6,2.1,3.1,7.8,0,0
44,44,apricot kernel oil,40,4.5,0.3,2.7,1.3,0,0
45,45,peanut oil,119,13.5,2.3,6.2,4.3,0,0
46,46,poppyseed oil,120,13.6,1.8,2.7,8.5,0,0
47,47,flaxseed oil,120,13.6,1.2,2.5,9.2,0,0
48,48,tomatoseed oil,1927,218,42.9,49.7,115.8,0,0
49,49,wheat germ oil,120,13.6,2.6,2.1,8.4,0,0
50,50,sesame oil,40,4.5,0.6,1.8,1.9,0,0
51,51,corn granola oil,124,14,1.1,8.2,4.1,0,0
52,52,cocoa butter oil,120,13.6,8.1,4.5,0.4,0,0
53,53,olive oil,119,13.5,1.9,9.8,1.4,0,0
54,54,palm kernel oil,40,4.5,4,0.3,0,0,0
55,55,mustard oil,124,14,1.6,8.3,3,0,0
56,56,rice bran oil,120,13.6,2.7,5.3,4.8,0,0
57,57,vegetable macaroni dry,308,0.9,0.1,0.1,0.4,62.9,0
58,58,chow mein noodles,257,9.9,1,3,5.9,37.5,0.5
59,59,chinese noodles,456,0.094,0.088,0.085,0.072,111.9,0
60,60,vegetable macaroni cooked,172,0.1,0.037,0.079,0.011,35.7,1.5
61,61,corn pasta dry,375,2.2,0.3,0.6,1,83.2,0
62,62,egg noodles dry,146,1.7,0.4,0.5,0.5,27.1,0.7
63,63,whole wheat spaghetti dry,98,0.4,0.047,0.003,0.2,21.2,0
64,64,japanese soba noodles dry,95,0.2,0.084,0.035,0.094,21.1,0
65,65,rice noodles dry,103,0.2,0.053,0.067,0.090,23.6,0
66,66,spinach spaghetti dry,105,0.4,0.097,0.015,0.2,21.2,0.8
67,67,egg noodles cooked,110,1.7,0.3,0.5,0.4,20.1,0.3
68,68,japanese somen noodles cooked,231,0.3,0.006,0.062,0.1,48.5,0
69,69,whole wheat macaroni dry,365,1.5,0.3,0.2,0.6,78.8,0
70,70,pasta marinara and ground beef sauce,41,1.6,0.5,0.7,0.1,4.1,1
71,71,macaroni raw,390,1.6,0.3,0.2,0.6,78.4,2.8
72,72,spaghetti dry,105,0.4,0.045,0.043,0.2,21.1,0.8
73,73,fusilli cucina,100,0.4,0.1,20.1,0.8,3.4,0.041
74,74,japanese somen noodles dry,101,0.2,0.000,0.013,0.012,21,0
75,75,pasta cooked,301,2.4,0.3,0.3,1,57.3,0
76,76,macaroni cooked,221,1.3,0.2,0.2,0.4,43.2,0.8
77,77,spinach egg noodles dry,145,1.7,0.4,0.5,0.4,26.7,0
78,78,japanese soba noodles cooked,113,0.1,0.026,0.085,0.007,24.4,0
79,79,rice noodles cooked,190,0.4,0.072,0.007,0.021,42.3,0.052
80,80,whole wheat macaroni cooked,174,0.8,0.1,0.1,0.3,37.2,1.1
81,81,spaghetti cooked,363,2.1,0.4,0.3,0.7,71,1.3
82,82,whole wheat spaghetti cooked,174,0.8,0.1,0.1,0.3,37.2,1.1
83,83,waffle,218,10.6,2.1,2.6,5.1,24.7,0
84,84,baked taco shell,61,2.7,0.8,0.8,0.9,8.3,0.2
85,85,puff pastry,1367,94.3,13.5,21.6,54.5,112,1.8
86,86,blueberry muffin,214,9.2,1.6,2.7,4.6,30.2,17.9
87,87,bread crumbs,427,5.7,1.3,1.1,2.2,77.7,6.7
88,88,warm cinnamon roll mcdonalds,113,5.1,1.3,2.6,0.8,15,7
89,89,corn muffin,201,5.5,0.9,1.4,2.1,33.7,11.7
90,90,tortilla,467,1.9,0.6,0.4,0.8,98.4,5.4
91,91,croutons seasoned,186,7.3,2.1,3.8,0.9,25.4,1.8
92,92,buttermilk waffle,102,3.1,0.8,1.7,0.5,16,1.5
93,93,flour tortilla,146,3.7,0.6,1.9,1.1,24.1,1.3
94,94,glazed donut,55,3,1.2,0.9,0.5,6.2,3
95,95,corn tortilla,52,0.7,0.1,0.2,0.3,10.7,0.2
96,96,muffin,169,6.5,1.2,1.6,3.3,23.6,0
97,97,croutons,33,0.5,0.1,0.2,0.1,5.9,0
98,98,donut with jelly filling,289,15.9,4.1,8.7,2,33.2,17.9
99,99,sweet cinnamon rolls,309,13.6,2.6,4,6.2,42.2,26.3
100,100,oat bran muffin,46,1.3,0.2,0.3,0.7,8.2,1.4
101,101,french cruller donut,169,7.5,1.9,4.3,0.9,24.4,14.4
102,102,pancakes,86,3.7,0.8,0.9,1.7,10.8,0
103,103,chocolate donut,250,11.9,3.1,6.8,1.5,34.4,19.2
104,104,sweet cheese rolls,238,12.1,4,6,1.3,28.8,0
105,105,eclair,234,19.2,11.5,5.4,1.1,11.2,2
106,106,donut with cream filling,307,20.8,4.6,10.3,2.6,25.5,12.4
107,107,fruit toaster pastry,209,5.6,1.3,3.3,0.7,37.1,14.8
108,108,donut,192,10.3,2.7,5.7,1.3,22.9,0
